adjective;Frame_realisation;Frame_frequency
royal;SUJ:NP;1
allaitant;SUJ:NP;2
recyclable;SUJ:NP;1
nombreux;SUJ:NP,P-OBJ:VPinf[à];2
nombreux;SUJ:NP;62
nombreux;SUJ:NP,P-OBJ:PP[parmi];1
nombreux;SUJ:NP,P-OBJ:PP[loc];1
nombreux;SUJ:NP,P-OBJ:PP[de];1
indien;SUJ:NP;10
statutaire;SUJ:NP;2
suivant;SUJ:NP;25
décontracté;SUJ:NP;1
fébrile;SUJ:NP;2
débordé;SUJ:NP;1
berrichon;SUJ:NP;1
innocent;SUJ:NP;2
graduel;SUJ:NP;1
lorrain;SUJ:NP;3
omnipotent;SUJ:NP;1
houiller;SUJ:NP;1
nuisible;SUJ:NP,P-OBJ:PP[pour];1
bateau;SUJ:NP;1
cumulatif;SUJ:NP;3
cumulatif;SUJ:NP,P-OBJ:PP[sur];1
patent;SUJ:NP;1
constructif;SUJ:NP;2
âpre;SUJ:NP;2
légumier;SUJ:NP;1
entretenu;SUJ:NP;1
nuancé;SUJ:NP;2
élaboré;SUJ:NP;1
centralisateur;SUJ:NP;1
normal;SUJ:Ssub[que];1
normal;SUJ:NP;15
dévalorisant;SUJ:NP;1
exploitant;SUJ:NP;1
distinct;SUJ:NP;3
inconditionnel;SUJ:NP;1
unilatéral;SUJ:NP;8
inhabité;SUJ:NP;2
inexistant;SUJ:NP;2
inattaquable;SUJ:NP;1
ledit;SUJ:NP;7
constructible;SUJ:NP;1
précaire;SUJ:NP;1
compliqué;SUJ:NP;5
impromptu;SUJ:NP;1
dépourvu;SUJ:NP;1
dépourvu;SUJ:NP,P-OBJ:PP[de];3
dynamique;SUJ:NP,P-OBJ:PP[depuis];1
dynamique;SUJ:NP;7
égoïste;SUJ:NP,OBJ:VPinf[V];1
identique;SUJ:NP;9
identique;SUJ:NP,P-OBJ:PP[à];4
payé;SUJ:NP;1
polluant;SUJ:NP;2
rédactionnel;SUJ:NP;3
douloureux;SUJ:NP;9
pakistanais;SUJ:NP;1
soufflé;SUJ:NP;1
imbécile;SUJ:NP;1
croissant;SUJ:NP;32
riche;SUJ:NP;17
riche;SUJ:NP,P-OBJ:PP[en];5
exempt;SUJ:NP,P-OBJ:PP[de];3
sanitaire;SUJ:NP;1
organisé;SUJ:NP;3
routier;SUJ:NP;13
virulent;SUJ:NP;2
acquis;SUJ:NP;4
acquis;SUJ:SsubI[que];1
acquis;SUJ:NP,P-OBJ:PP[à];1
finnois;SUJ:NP;1
infime;SUJ:NP;1
chinois;SUJ:NP;22
larvé;SUJ:NP;2
stagnant;SUJ:NP;1
métropolitain;SUJ:NP;2
faux;SUJ:NP;7
chaleureux;SUJ:NP;1
prompt;SUJ:NP,P-OBJ:VPinf[à];1
heureux;SUJ:NP,P-OBJ:PP[à],P-OBJ:VPinf[de];1
heureux;SUJ:NP;7
moribond;SUJ:NP;1
avare;SUJ:NP,P-OBJ:PP[de];1
semblable;SUJ:NP,P-OBJ:PP[à];3
semblable;SUJ:NP,P-OBJ:PP[dans];1
dirigeant;SUJ:NP;3
lié;SUJ:NP;2
éditorial;SUJ:NP;3
philippin;SUJ:NP;1
flatteur;SUJ:NP;4
coopératif;SUJ:NP;5
sage;SUJ:NP;6
farouche;SUJ:NP;1
restrictif;SUJ:NP;10
franchisé;SUJ:NP;1
créatif;SUJ:NP;3
moteur;SUJ:NP;2
pragois;SUJ:NP;1
plastique;SUJ:NP;6
connu;SUJ:NP;8
champion;SUJ:NP;2
charitable;SUJ:NP;1
critique;SUJ:NP;4
éducatif;SUJ:NP;3
contraire;SUJ:NP;6
contraire;SUJ:NP,P-OBJ:PP[à];4
annuel;SUJ:NP;65
vertigineux;SUJ:NP;3
fouillé;SUJ:NP;1
involontaire;SUJ:NP;4
déferlant;SUJ:NP;1
souriant;SUJ:NP;1
annexe;SUJ:NP;6
prohibitif;SUJ:NP;2
bonapartiste;SUJ:NP;1
avantageux;SUJ:NP;7
approprié;SUJ:NP;3
approprié;SUJ:NP,P-OBJ:PP[à];1
adéquat;SUJ:NP;2
unitaire;SUJ:NP;3
boursier;SUJ:NP;21
commercial;SUJ:NP;59
privilégié;SUJ:NP;9
postérieur;SUJ:NP,P-OBJ:PP[à];1
révolu;SUJ:NP;1
insoupçonné;SUJ:NP;1
inflexible;SUJ:NP;1
impératif;SUJ:NP;1
impératif;SUJ:VPinf[de];1
acharné;SUJ:NP;5
locatif;SUJ:NP;3
fictif;SUJ:NP;1
structurel;SUJ:NP;21
