;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
1;autre;311498;1;;;;;;;;;;;;;;;;;;;;;;
2;nouveau;192744;0,618764807;;;;;;;;;;;;;;;;;;;;;;
3;grand;191212;0,613846638;;;;;;;;;;;;;;;;;;;;;;
4;bon;188301;0,604501474;;;;;;;;;;;;;;;;;;;;;;
5;petit;161683;0,519049882;;;;;;;;;;;;;;;;;;;;;;
6;m?me;133491;0,428545288;;;;;;;;;;;;;;;;;;;;;;
7;dernier;109357;0,351068065;;;;;;;;;;;;;;;;;;;;;;
8;seul;86629;0,278104514;;;;;;;;;;;;;;;;;;;;;;
9;beau;79318;0,254634059;;;;;;;;;;;;;;;;;;;;;;
10;jeune;68814;0,220913136;;;;;;;;;;;;;;;;;;;;;;
11;meilleur;65608;0,210620935;;;;;;;;;;;;;;;;;;;;;;
12;français;64477;0,206990093;;;;;;;;;;;;;;;;;;;;;;
13;différent;64457;0,206925887;;;;;;;;;;;;;;;;;;;;;;
14;nombreux;63198;0,202884128;;;;;;;;;;;;;;;;;;;;;;
15;important;61873;0,198630489;;;;;;;;;;;;;;;;;;;;;;
16;juste;59079;0,189660929;;;;;;;;;;;;;;;;;;;;;;
17;vrai;52402;0,168225799;;;;;;;;;;;;;;;;;;;;;;
18;politique;50615;0,162489005;;;;;;;;;;;;;;;;;;;;;;
19;propre;49986;0,16046973;;;;;;;;;;;;;;;;;;;;;;
20;social;49961;0,160389473;;;;;;;;;;;;;;;;;;;;;;
21;possible;49132;0,15772814;;;;;;;;;;;;;;;;;;;;;;
22;général;48744;0,156482546;;;;;;;;;;;;;;;;;;;;;;
23;national;47260;0,15171847;;;;;;;;;;;;;;;;;;;;;;
24;simple;45294;0,145407033;;;;;;;;;;;;;;;;;;;;;;
25;plein;44548;0,143012154;;;;;;;;;;;;;;;;;;;;;;
26;gratuit;43640;0,140097208;;;;;;;;;;;;;;;;;;;;;;
27;gros;43261;0,138880506;;;;;;;;;;;;;;;;;;;;;;
28;fort;40137;0,12885155;;;;;;;;;;;;;;;;;;;;;;
29;haut;38417;0,123329845;;;;;;;;;;;;;;;;;;;;;;
30;ancien;38231;0,12273273;;;;;;;;;;;;;;;;;;;;;;
31;international;36420;0,116918889;;;;;;;;;;;;;;;;;;;;;;
32;principal;36063;0,115772814;;;;;;;;;;;;;;;;;;;;;;
33;présent;35492;0,113939736;;;;;;;;;;;;;;;;;;;;;;
34;s?r;34681;0,111336188;;;;;;;;;;;;;;;;;;;;;;
35;prochain;34583;0,11102158;;;;;;;;;;;;;;;;;;;;;;
36;difficile;33394;0,107204541;;;;;;;;;;;;;;;;;;;;;;
37;européen;33194;0,106562482;;;;;;;;;;;;;;;;;;;;;;
38;humain;32079;0,102983005;;;;;;;;;;;;;;;;;;;;;;
39;nécessaire;31817;0,102141908;;;;;;;;;;;;;;;;;;;;;;
40;réel;30489;0,097878638;;;;;;;;;;;;;;;;;;;;;;
41;facile;29483;0,094649083;;;;;;;;;;;;;;;;;;;;;;
42;économique;29391;0,094353736;;;;;;;;;;;;;;;;;;;;;;
43;actuel;26765;0,085923505;;;;;;;;;;;;;;;;;;;;;;
44;disponible;26500;0,085072777;;;;;;;;;;;;;;;;;;;;;;
