code,name,code_postal,latitude,longitude,score
55500,spincourt,55230,49.3333694763,5.69690578835,1
55502,stenay,55700,49.5005049028,5.19767442624,0
55503,taillancourt,55140,48.5108199186,5.66150550751,1
55506,thillombois,55260,48.955498451,5.38479221078,0
55508,thonne la long,55600,49.5661986662,5.4256255311,1
55509,thonne le thil,55600,49.5717892465,5.34089829816,0
55510,thonne les pres,55600,49.5321707367,5.34285786422,0
55511,thonnelle,55600,49.5522651595,5.35866825052,0
55512,tilly sur meuse,55220,48.9943756095,5.41496893941,0
55517,seuil d argonne,55250,48.9741184199,5.05640187676,0
55519,tronville en barrois,55310,48.7202054641,5.27880486884,0
55535,vaudoncourt,55230,49.3164530998,5.64496115253,1
55540,vaux les palameix,55300,49.0235694173,5.54952475226,0
55544,velosnes,55600,49.4989737491,5.46049245047,0
55560,villers aux vents,55800,48.859860916,5.02051057979,0
55562,villers le sec,55500,48.6244341706,5.29962310593,0
55565,villers sous pareid,55160,49.1271118517,5.7409473841,0
55569,villotte devant louppy,55250,48.8913774589,5.0757136176,0
55580,wavrille,55150,49.3187272917,5.37534023156,0
56005,arzon,56640,47.5470278592,-2.88784873321,0
56006,augan,56800,47.9122301916,-2.26794243142,0
56009,bangor,56360,47.313014109,-3.1920046614,0
56019,billio,56420,47.8676423674,-2.64808099654,0
56027,buleon,56420,47.9204907078,-2.675100146,0
56040,cleguer,56620,47.8651441358,-3.36505283669,0
56050,la croix hellean,56120,47.9636789814,-2.51127913999,0
56052,damgan,56750,47.5225849121,-2.58591349552,0
56063,gestel,56530,47.8081867338,-3.43789895944,0
56068,la gree st laurent,56120,48.0015062155,-2.5032399429,0
56074,guenin,56150,47.9054538153,-2.96668545756,0
56075,guer,56380,47.9073328689,-2.12921667557,0
56076,guern,56310,48.034812094,-3.10210819961,0
56080,guilliers,56490,48.0517458182,-2.41446112985,0
56082,hellean,56120,47.9684046119,-2.48122455823,0
56088,ile d arz,56840,47.5921615847,-2.80045392153,0
56093,kergrist,56300,48.1472818466,-2.92787554336,0
56099,langoelan,56160,48.1207904206,-3.23318501887,0
56107,larmor plage,56260,47.7159229255,-3.39111373247,0
56117,locmine,56500,47.8796108678,-2.83755408244,0
56118,locmiquelic,56570,47.7303087589,-3.32842997885,0
56127,mauron,56430,48.0820059121,-2.30432452661,0
56132,meucon,56890,47.7239745954,-2.77407412753,0
56134,mohon,56490,48.0633640521,-2.49561629627,0
56141,moustoir ac,56500,47.8426011958,-2.85850436809,0
56146,neulliac,56300,48.1221729003,-2.97176123226,0
56159,pleucadeuc,56140,47.7694959397,-2.38667192104,0
56173,plumeliau bieuzy,56930,47.9650479618,-2.98095397344,0
56177,pluvigner,56330,47.7824013121,-3.01608916771,0
56178,pontivy,56300,48.0729953877,-2.97046592885,0
